anchor,line,neg_response
"29 year old female, first seizure one month ago, lost the ability to speak. Babbled like a baby. Present deterioration of mental status.",See that? They all assume I'm a Patient because of this cane.,Perhaps youre getting a brain tumour.
So put on a white coat like the rest of us.,I don't want them to think I'm a doctor.,"Okay, lets get some perspective people its not like Im wearing a seeingeye dog coat!"
You see where the administration might have a pRoblem with that attitude.,People don't want a sick doctor.,on our policy.
Fair enough. I don't like healthy Patients. The 29 year old female!,"The one who can't talk, I liked that part.",Excuse me... This hospital is for people!
She's my cousin.,"And your cousin doesn't like the diagnosis. I wouldn't either. Brain tumor, she's gonna die, boring.","Well, she was engaged to my cousin while she was sleeping with my brother, so shes kind of family."
No wonder you're such a renowned diagnostician. You don't need to actually know anything to figure out what's wrong.,You're the oncologist I'm just a lowly infectious disease guy.,Well what do I know?
"Hah, yes, just a simple country doctor. Brain tumors at her age are highly unlikely.",She's 29. WhatEver she's got is highly unlikely.,"Oh, shes a doctor."
Protein markers for the three most prevalent brain cancers came up negative.,That's an HMO lab you might as well have sent it to a high school kid with a chemistry set.,"You know, deepsea divers holding their breath for several minutes have shown elevated markers of a protein that can signal brain damage."
No family history.,I thought your uncle died of cancer.,I have no other family.
Other side. No environmental factors.,That you know of.,Where? Dark side or light side?
And she's not responding to radiation treatment.,None of which is Even close to dispositive. All it does is raise one question. Your cousin goes to an HMO?,"Well, if you were referring to her illness your question should have been, what ails her?"
It's a lesion.,And the big green thing in the middle of the bigger blue thing on a map is an island. I was hoping for something a bit more creative.,"Wait! What you should do, Michael, is have a doctor take a look at it. Because we really dont know what that is."
Shouldn't we be speaking to the Patient before we start diagnosing?,Is she a doctor?,Why dont we talk about this on the way to the hospital?
"Is she a doctor? No, but!",Everybody lies.,What kind of doctor is she?
Isn't treating Patients why we became doctors?,"No, treating illnesses is why we became doctors, treating Patients is what makes most doctors miserable.","No, Im no doctor, but it seems to me that we all have an obligation to the public health to track down anyone who gives us a disease, inform them of it, and take overwhelming revenge on that person."
So you're trying to eliminate the huManity from the practice of medicine.,"If we don't talk to them they can't lie to us, and we can't lie to them. HuManity is overrated. I don't think it's a tumor.","Are you saying that Im forbidden from applying a harmless, scientifically valid protocol that will make our lives better?"
First year of medical school if you hear hoof beats you think horses not zebras.,Are you in first year of medical school?,"Ahem, Horse heart surgeon."
"Aneurysm, stroke, or some other ischemic syndrome.",Get her a contrast MRI.,Theyre running tests.
Creutzfeld-Jakob disease. Mad cow?,Mad zebra.,"Amy, how long would it take for that mad cow disease to kill me?"
Mad zebra. Wernickie's encephalopathy?,"No, blood thiamine lEvel was normal.",I dont know!
"Lab in Trenton could have screwed up the blood test. I assume it's a corollary if people lie, that people screw up.",Re-draw the blood tests. And get her scheduled for that contrast MRI ASAP. Let's find out what kind of zebra we're dealing with here.,Why would anyone claim to be from New Jersey if they werent?
I was expecting you in my office 20 minutes ago.,"Really? Well, that's odd, because I had no intention of being in your office 20 minutes ago.","Can I please see you in my office, please?"
You think we have nothing to talk about?,"No, just that I can't think of anything that I'd be interested in.",What are we supposed to talk about?
I sign your paychecks.,"I have tenure. Are you going to grab my cane now, stop me from leaving?","Oh, I just need your signature on this."
I can still fire you if you're not doing your job.,I'm here from 9 to 5.,"No, you cant fire me."
Your billings are practically nonexistent.,Rough year.,I have the lowest sales record of anyone here.
You ignore requests for consults.,I call back. Sometimes I misdial.,You begged me not to send Theon to negotiate with his father and I ignored your advice.
You're 6 years behind on your obligation to this clinic.,"See, I was right, this doesn't interest me.",What is the great tragedy here?
"6 years, times 3 weeks you owe me better than 4 months.",It's 500. I'm going home.,Six years and two months.
I'm going home. To what?,Nice.,Im goin home.
"Look, Dr. House, the only reason that I don't fire you is because your reputation still worth something to this hospital.","Excellent, we have a point of agreement. You aren't going to fire me.","Ross, please, this is a hospital, ok?"
Your reputation won't last up if you don't do your job. The clinic is part of your job. I want you to do your job.,"Well, like the philosopher Jagger once said, You can't always get what you want.",Okay. Yknow what? Id have to say I really dont care for your tone. And this is not the only hospital in this city and we have no problem toWhoa! Oh gosh! Whoa!
"Dr. Cameron. I'm sorry I have to stop you, there's a pRoblem.",You pulled my authorization.,"Excuse me, Dr Gablehouser, are you busy?"
"Yes, why are you yelling?","No MRIs, no imaging studies, no labs.",Why are you yelling at me?
You also can't make long distance phone calls.,If you're gonna fire me at least have the guts to face me.,"Anyway, we can email, and I think the phone connections are pretty good."
Or photocopies you're still yelling.,I'm ANGRY! You're risking a Patient's life.,"Uh, boss, were out of paper."
