,mean,std,min,max,num_replicas
Ross Geller,0.09512469,0.08650368,-0.21478227,0.79184234,4844
Penny,0.09487111,0.08477517,-0.20874545,0.67870784,3787
SpongeBob,0.094327256,0.08200813,-0.20819512,0.6893693,785
Monica Geller,0.09187768,0.08457902,-0.22669786,0.68861336,4374
Amy Farrah Fowler,0.091487296,0.08483085,-0.2038852,0.72089136,1989
Chandler Bing,0.0912335,0.08490978,-0.21906208,0.5997056,4567
Leonard Hofstadter,0.090903826,0.08532779,-0.22425511,0.7279916,5000
Michael Scott,0.09003907,0.08505732,-0.2580352,0.6779761,5000
Jim Halpert,0.08987626,0.08464543,-0.21452166,0.6387652,3270
Joey Tribbiani,0.08948172,0.085163765,-0.20805469,0.61631453,4467
Pam Beesly,0.0879109,0.08543801,-0.22936513,0.6534232,2624
Dwight Schrute,0.08790381,0.08436437,-0.20431632,0.75602746,4432
Stanley Hudson,0.087527804,0.084581256,-0.20591393,0.6700181,364
Howard Wolowitz,0.08655185,0.084036775,-0.24075574,0.7301167,3515
Jaime Lannister,0.085550904,0.085459836,-0.20732844,0.748587,575
Sheldon Cooper,0.08501423,0.08396467,-0.22250186,0.6336701,5000
Cersei Lannister,0.08393115,0.085341655,-0.23218022,0.65910894,694
Daenerys Targaryen,0.08277438,0.08532685,-0.22414093,0.7069771,581
Tyrion Lannister,0.08168094,0.08444027,-0.20503211,0.6842959,1294
Jon Snow,0.0808227,0.085524455,-0.23515783,0.6295203,678
